mechanical property,918,True
tensile strength,392,True
x ray diffraction,390,True
transmission electron microscopy,369,True
scanning electron microscopy,321,True
electron microscopy,254,True
grain size,243,True
aluminium alloy,242,True
yield strength,232,True
grain boundary,201,True
tensile property,196,True
plastic deformation,183,True
strain rate,168,True
grain refinement,166,True
tensile test,161,True
optical microscopy,138,True
SiC,136,True
heat treatment,133,True
youngs modulus,123,True
microstructural evolution,120,True
dislocation density,119,True
mechanical behavior,116,True
equal channel angular pressing,114,True
fracture toughness,111,True
Al2O3,111,True
thermal stability,103,True
residual stress,98,True
differential scanning calorimetry,93,True
phase transformation,90,True
grain growth,88,True
microstructure evolution,87,True
thermal property,86,True
Ti6Al4V,86,True
dynamic recrystallization,84,True
titanium alloy,83,True
corrosion resistance,83,True
thermal conductivity,82,True
ultimate tensile strength,81,True
selective laser melting,81,True
elevated temperature,81,True
scanning electron microscope,79,True
particle size,77,True
electrical conductivity,77,True
magnesium alloy,74,True
additive manufacturing,74,True
deformation mechanism,73,True
carbon nanotube,72,True
electron backscatter diffraction,71,True
flow stress,70,True
elastic modulus,70,True
crack propagation,70,True
TiO2,70,True
wear resistance,69,True
friction stir welding,68,True
austenitic stainless steel,68,True
spark plasma sintering,66,True
raman spectroscopy,66,True
physical property,66,True
severe plastic deformation,65,True
metal matrix composite,64,True
tensile testing,63,True
stainless steel,63,True
SiO2,63,True
yield stress,61,True
shape memory alloy,60,True
cooling rate,60,True
high pressure torsion,59,True
TiC,59,True
fatigue life,58,True
deformation behavior,58,True
x ray photoelectron spectroscopy,57,True
electrical property,56,True
high entropy alloy,55,True
compressive strength,53,True
cold rolling,50,True
stacking fault energy,49,True
crack initiation,48,True
compression test,48,True
strain hardening,46,True
martensitic transformation,46,True
NiTi,46,True
FSW,46,True
vicker hardness,45,True
infrared spectroscopy,45,True
hot deformation,45,True
work hardening,44,True
crystal structure,44,True
microstructural change,43,True
glass transition temperature,43,True
fracture surface,43,True
high strength,42,True
mechanical alloying,41,True
matrix composite,41,True
magnetic property,41,True
finite element analysis,41,True
transmission electron microscope,40,True
stress strain curve,40,True
friction stir processing,40,True
HV,40,True
strain rate sensitivity,39,True
microstructural feature,39,True
fourier transform infrared spectroscopy,39,True
CO2,39,True
hot isostatic pressing,38,True
high temperature,38,True
energy dispersive x ray spectroscopy,38,True
deformation temperature,38,True
YS,38,True
AlSi,38,True
retained austenite,37,True
heat affected zone,37,True
grain boundary sliding,37,True
flexural strength,37,True
aluminium matrix composite,37,True
NaCl,37,True
shear band,36,True
electron microscope,36,True
creep resistance,36,True
activation energy,36,True
ZnO,36,True
thermogravimetric analysis,35,True
fracture behavior,35,True
ZrO2,35,True
AlMg,35,True
crystallographic texture,34,True
FSP,34,True
microstructural characterization,33,True
finite element simulation,33,True
crack growth,33,True
chemical composition,33,True
ball milling,33,True
annealing temperature,33,True
thermal barrier coating,32,True
tensile behavior,32,True
lattice parameter,32,True
atomic force microscopy,32,True
surface roughness,31,True
plastic strain,31,True
nickel based superalloy,31,True
mechanical response,31,True
mechanical performance,31,True
hot extrusion,31,True
fatigue behavior,31,True
equal channel angular extrusion,31,True
solid solution,30,True
optical property,30,True
intermetallic compound,30,True
fracture mode,30,True
fatigue strength,30,True
equiaxed grain,30,True
aluminium matrix,30,True
TiB2,30,True
AlCu,30,True
tensile deformation,29,True
structural property,29,True
strengthening mechanism,29,True
processing map,29,True
finite element model,29,True
HIP,29,True
powder metallurgy,28,True
phase formation,28,True
microstructural analysis,28,True
material property,28,True
dislocation structure,28,True
dielectric property,28,True
density functional theory,28,True
deformation mode,28,True
aerospace industry,28,True
AlN,28,True
thermal treatment,27,True
thermal expansion,27,True
tensile ductility,27,True
particle reinforcement,27,True
optical microscope,27,True
matrix phase,27,True
hot deformation behavior,27,True
crystallite size,27,True
creep behavior,27,True
wear rate,26,True
thermal analysis,26,True
tensile stress,26,True
shear strength,26,True
nickel base superalloy,26,True
molecular dynamic,26,True
molecular dynamic simulation,26,True
laser melting,26,True
composite material,26,True
biomedical application,26,True
ambient temperature,26,True
alloying element,26,True
accumulative roll bonding,26,True
TiAl,26,True
surface area,25,True
solid solution strengthening,25,True
neutron diffraction,25,True
mechanical testing,25,True
low carbon steel,25,True
finite element method,25,True
fatigue property,25,True
elongation to failure,25,True
electrical resistivity,25,True
dislocation motion,25,True
crystallographic orientation,25,True
automotive industry,25,True
thermomechanical processing,24,True
texture evolution,24,True
strain hardening rate,24,True
stir zone,24,True
spark plasma,24,True
particle distribution,24,True
laves phase,24,True
hot pressing,24,True
hot compression test,24,True
graphene oxide,24,True
friction stir weld,24,True
electron diffraction,24,True
dynamic recovery,24,True
corrosion behavior,24,True
WC,24,True
Si3N4,24,True
Mg2Si,24,True
Mg17Al12,24,True
BC,24,True
AlMgSi,24,True
tensile yield strength,23,True
structural material,23,True
poisson ratio,23,True
photoelectron spectroscopy,23,True
phase transition,23,True
mechanical strength,23,True
low cycle fatigue,23,True
intergranular fracture,23,True
hot rolling,23,True
heating rate,23,True
fracture mechanism,23,True
directional solidification,23,True
differential thermal analysis,23,True
deformation twinning,23,True
creep strength,23,True
TiN,23,True
MgO,23,True
zener hollomon parameter,22,True
work hardening rate,22,True
scanning transmission electron microscopy,22,True
oxidation resistance,22,True
micro hardness,22,True
martensite formation,22,True
impact toughness,22,True
failure mechanism,22,True
epoxy matrix,22,True
electron back scattered diffraction,22,True
deformation twin,22,True
creep rate,22,True
constitutive equation,22,True
TiNi,22,True
x ray diffraction analysis,21,True
twinning induced plasticity,21,True
stacking fault,21,True
single crystal,21,True
shape memory effect,21,True
precipitation hardening,21,True
multi walled carbon nanotube,21,True
microstructural characteristic,21,True
microhardness measurement,21,True
martensitic steel,21,True
high cycle fatigue,21,True
extruded alloy,21,True
az31 magnesium alloy,21,True
MoSi2,21,True
toughening mechanism,20,True
storage modulus,20,True
silicon carbide,20,True
pure aluminium,20,True
nanocrystalline alloy,20,True
microstructure development,20,True
intermetallic phase,20,True
image analysis,20,True
high strength steel,20,True
high resolution transmission electron microscopy,20,True
high angle grain boundary,20,True
high angle boundary,20,True
dislocation glide,20,True
dielectric constant,20,True
surface modification,19,True
solution treatment,19,True
phase separation,19,True
phase composition,19,True
particle size distribution,19,True
numerical simulation,19,True
nanocrystalline material,19,True
microstructural observation,19,True
interfacial bonding,19,True
high strain rate,19,True
heat input,19,True
friction coefficient,19,True
fracture strain,19,True
fatigue crack growth,19,True
epoxy resin,19,True
energy absorption,19,True
electron backscattered diffraction,19,True
cyclic loading,19,True
compressive residual stress,19,True
coefficient of thermal expansion,19,True
austenite grain size,19,True
aluminium foam,19,True
TiB,19,True
x ray,18,True
relative density,18,True
pore size,18,True
microstructural development,18,True
martensite transformation,18,True
laser power,18,True
laser powder bed fusion,18,True
hall petch relationship,18,True
fracture energy,18,True
flow behavior,18,True
fatigue performance,18,True
fatigue crack propagation,18,True
electron beam melting,18,True
dynamic mechanical analysis,18,True
